support_id,support_tuple,support_size,support_mask,x_CooperateBot,x_CupodBot,x_DBot,x_DefectBot,x_DupocBot,x_OBot,x_TitForTatBot,x_EBot,c,c_crosscheck,is_interior,is_singular,tangent_eigvals,max_re_eigval,min_re_eigval,has_complex_eigvals,within_face_class,external_invasion_fitnesses,max_external_fitness,externally_stable,overall_class
195,"(CupodBot, DBot, DupocBot, OBot, TitForTatBot)",5,01101110,,0.0,1.0,,-0.0,1.0,-1.0,,0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
196,"(CupodBot, DBot, DupocBot, OBot, EBot)",5,01101101,,0.0,1.0,,-0.0,1.0,,-1.0,0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
197,"(CupodBot, DBot, DupocBot, TitForTatBot, EBot)",5,01101011,,0.0,3.0,,1.4802973661668753e-16,,1.0,-3.0,1.9999999999999996,2.0,False,False,[],,,False,,{},-inf,True,non_interior
198,"(CupodBot, DBot, OBot, TitForTatBot, EBot)",5,01100111,,0.3333333333333333,0.0,,,0.6666666666666666,-0.0,0.0,-0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
199,"(CupodBot, DefectBot, DupocBot, OBot, TitForTatBot)",5,01011110,,0.0,,1.0,-0.0,-0.0,0.0,,-0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
200,"(CupodBot, DefectBot, DupocBot, OBot, EBot)",5,01011101,,0.0,,1.0,-0.0,-0.0,,0.0,-0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
201,"(CupodBot, DefectBot, DupocBot, TitForTatBot, EBot)",5,01011011,,0.0,,1.0,-0.0,,0.0,0.0,-0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
202,"(CupodBot, DefectBot, OBot, TitForTatBot, EBot)",5,01010111,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
203,"(CupodBot, DupocBot, OBot, TitForTatBot, EBot)",5,01001111,,0.6666666666666665,,,-0.6666666666666665,0.3333333333333335,-0.3333333333333335,1.0,1.9999999999999996,2.0,False,False,[],,,False,,{},-inf,True,non_interior
204,"(DBot, DefectBot, DupocBot, OBot, TitForTatBot)",5,00111110,,,-2.0,6.0,-1.0000000000000002,-2.0,0.0,,-6.0,-5.999999999999998,False,False,[],,,False,,{},-inf,True,non_interior
205,"(DBot, DefectBot, DupocBot, OBot, EBot)",5,00111101,,,-2.0,6.0,-1.0000000000000002,-2.0,,0.0,-6.0,-5.999999999999998,False,False,[],,,False,,{},-inf,True,non_interior
206,"(DBot, DefectBot, DupocBot, TitForTatBot, EBot)",5,00111011,,,0.6666666666666664,2.220446049250313e-16,0.7777777777777777,,0.22222222222222204,-0.6666666666666664,1.9999999999999993,1.9999999999999998,False,False,[],,,False,,{},-inf,True,non_interior
207,"(DBot, DefectBot, OBot, TitForTatBot, EBot)",5,00110111,,,-0.49999999999999994,1.4999999999999998,,-0.0,0.0,0.0,-1.4999999999999998,-1.4999999999999993,False,False,[],,,False,,{},-inf,True,non_interior
208,"(DBot, DupocBot, OBot, TitForTatBot, EBot)",5,00101111,,,2.0,,0.33333333333333337,1.1102230246251565e-16,0.6666666666666666,-2.0,2.0,2.0,False,False,[],,,False,,{},-inf,True,non_interior
