t,alpha,zoo,family,fingerprint,n_ne,n_components,max_ne_coop,n_coop_components,full_coop_exists,n_stable_faces,moran_ss,realized_coop
0.4,0.3,body+twins,syntactic,0cdc71d073ec,52,2,1.0,1,True,5,CIM+Dup,0.936389
0.6,0.3,body+twins,syntactic,ee207f993047,80,2,1.0,1,True,8,CIM+Dup,0.949244
0.8,0.3,body+twins,syntactic,f3e66e570e00,80,2,1.0,1,True,6,CIM+Dup,0.9494859999999999
1.0,0.3,body+twins,syntactic,f3e66e570e00,80,2,1.0,1,True,6,CIM+Dup,0.9494859999999999
0.0,0.45,body+twins,syntactic,596dd0e9580c,25,1,0.0,0,False,0,CIM+Def+Dup+OB+Pru,0.0
0.2,0.45,body+twins,syntactic,7e8d3a416bc4,52,2,1.0,1,True,2,CIM+Dup,0.931725
0.4,0.45,body+twins,syntactic,ee207f993047,80,2,1.0,1,True,8,CIM+Dup,0.949244
0.6,0.45,body+twins,syntactic,f3e66e570e00,80,2,1.0,1,True,6,CIM+Dup,0.9494859999999999
0.8,0.45,body+twins,syntactic,f3e66e570e00,80,2,1.0,1,True,6,CIM+Dup,0.9494859999999999
1.0,0.45,body+twins,syntactic,f3e66e570e00,80,2,1.0,1,True,6,CIM+Dup,0.9494859999999999
0.0,0.62,body+twins,syntactic,596dd0e9580c,25,1,0.0,0,False,0,CIM+Def+Dup+OB+Pru,0.0
0.2,0.62,body+twins,syntactic,fba3d0b8d893,81,1,0.0,0,False,6,OB+Pru,0.035172999999999996
0.4,0.62,body+twins,syntactic,1771e29237cf,80,2,1.0,1,True,4,CIM+Dup,0.939257
0.6,0.62,body+twins,syntactic,f3e66e570e00,80,2,1.0,1,True,6,CIM+Dup,0.9494859999999999
0.8,0.62,body+twins,syntactic,f3e66e570e00,80,2,1.0,1,True,6,CIM+Dup,0.9494859999999999
1.0,0.62,body+twins,syntactic,f3e66e570e00,80,2,1.0,1,True,6,CIM+Dup,0.9494859999999999
0.0,0.8,body+twins,syntactic,dabbd1a3162d,100,1,0.0,0,False,0,—,0.0
0.2,0.8,body+twins,syntactic,564b7b36bd0d,25,1,0.0,0,False,3,CIM+Dup+OB+Pru,0.004106
0.4,0.8,body+twins,syntactic,e6ab26a6bdb4,81,1,0.0,0,False,18,OB+Pru,0.01974
0.6,0.8,body+twins,syntactic,98134a3b2b71,64,1,0.0,0,False,8,Def+Pru,0.131824
0.8,0.8,body+twins,syntactic,f3e66e570e00,80,2,1.0,1,True,6,CIM+Dup,0.9494859999999999
1.0,0.8,body+twins,syntactic,f3e66e570e00,80,2,1.0,1,True,6,CIM+Dup,0.9494859999999999
0.0,1.0,body+twins,syntactic,9e838945e70a,121,1,0.0,0,False,0,—,0.0
0.2,1.0,body+twins,syntactic,9e838945e70a,121,1,0.0,0,False,0,—,0.0
0.4,1.0,body+twins,syntactic,9e838945e70a,121,1,0.0,0,False,0,—,0.0
0.6,1.0,body+twins,syntactic,9e838945e70a,121,1,0.0,0,False,0,—,0.0
0.8,1.0,body+twins,syntactic,9e838945e70a,121,1,0.0,0,False,0,—,0.0
1.0,1.0,body+twins,syntactic,f3e66e570e00,80,2,1.0,1,True,6,CIM+Dup,0.9494859999999999
0.0,0.0,body+twins+natives,behavioral,d2be5f067353,196,1,1.0,1,True,0,—,1.0000060000000002
0.2,0.0,body+twins+natives,behavioral,d2be5f067353,196,1,1.0,1,True,0,—,1.0000060000000002
0.4,0.0,body+twins+natives,behavioral,d2be5f067353,196,1,1.0,1,True,0,—,1.0000060000000002
0.6,0.0,body+twins+natives,behavioral,d2be5f067353,196,1,1.0,1,True,0,—,1.0000060000000002
0.8,0.0,body+twins+natives,behavioral,d2be5f067353,196,1,1.0,1,True,0,—,1.0000060000000002
1.0,0.0,body+twins+natives,behavioral,d2be5f067353,196,1,1.0,1,True,0,—,1.0000060000000002
0.0,0.3,body+twins+natives,behavioral,1a1aec1164b4,16,1,0.0,0,False,0,Def+Max+OB+Pru,0.0
0.2,0.3,body+twins+natives,behavioral,5ea2e8c4841d,64,1,0.0,0,False,0,Def+Max+Pru,0.265911
0.4,0.3,body+twins+natives,behavioral,f39097b39f8a,36,1,0.0,0,False,6,Def+Pru+TFT,0.476529
0.6,0.3,body+twins+natives,behavioral,72a1f9b42042,36,1,0.0,0,False,10,Def+Pru+TFT,0.467305
0.8,0.3,body+twins+natives,behavioral,b0781aac0b37,36,1,0.0,0,False,8,Def+Pru+TFT,0.463431
1.0,0.3,body+twins+natives,behavioral,6dc149db6632,272,2,1.0,1,True,6,CIM+Dup+Max+Min,0.974782
0.0,0.45,body+twins+natives,behavioral,30393625b4e5,36,1,0.0,0,False,0,CIM+Def+Dup+Max+OB+Pru,0.0
0.2,0.45,body+twins+natives,behavioral,63f32f623a38,36,1,0.0,0,False,2,Max,0.040012
