t,alpha,zoo,family,fingerprint,run,n_types,is_fully_proven,n_pure_ess,edges_strict,n_sccs,n_cycles,n_supports,n_stable_faces,n_extreme_ne,n_ne_components,n_attractors,largest_basin,dominant_support,moran_ss,moran_population,moran_beta
0.4,0.8,body,syntactic,fde3ac52cec2,body_syntactic_t040_a080_fde3ac52cec2,10,True,0,35,5,17,1013,4,9,1,13,0.960199,Def+Dup+OB,Dup+OB,100,1.0
0.4,1.0,body,syntactic,f5cab66f807b,body_syntactic_t080_a100_f5cab66f807b,10,True,0,9,10,0,1013,0,81,1,17,0.965174,Cup+CupT+DB+DIM+Def+Dup+EB+OB+TFT,—,100,1.0
0.2,0.0,body,syntactic,4646208ebc75,body_syntactic_t100_a000_4646208ebc75,10,True,0,0,10,0,1013,0,100,1,18,0.935323,Coop+Cup+CupT+DB+DIM+Def+Dup+EB+OB+TFT,—,100,1.0
0.2,0.3,body,syntactic,b9176df77573,body_syntactic_t020_a030_b9176df77573,10,True,0,20,8,1,1013,1,13,2,13,0.855721,Coop+Dup+TFT,Dup,100,1.0
0.2,0.45,body,syntactic,d1b06c628baa,body_syntactic_t020_a045_d1b06c628baa,10,True,0,30,6,3,1013,2,30,3,13,0.885572,Coop+Dup+TFT,Dup,100,1.0
0.2,0.62,body,syntactic,4f54b525288c,body_syntactic_t020_a062_4f54b525288c,10,True,0,36,6,7,1013,2,9,1,12,0.975124,Def+Dup+OB,Dup+OB,100,1.0
0.2,0.8,body,syntactic,0792726f07bc,body_syntactic_t020_a080_0792726f07bc,10,True,1,29,5,8,1013,3,10,2,10,1.0,EB,EB,100,1.0
0.2,1.0,body,syntactic,f5cab66f807b,body_syntactic_t080_a100_f5cab66f807b,10,True,0,9,10,0,1013,0,81,1,17,0.965174,Cup+CupT+DB+DIM+Def+Dup+EB+OB+TFT,—,100,1.0
0.0,0.0,body,syntactic,4646208ebc75,body_syntactic_t100_a000_4646208ebc75,10,True,0,0,10,0,1013,0,100,1,18,0.935323,Coop+Cup+CupT+DB+DIM+Def+Dup+EB+OB+TFT,—,100,1.0
0.0,0.3,body,syntactic,a8e58c0078c8,body_syntactic_t000_a030_a8e58c0078c8,10,True,0,20,10,0,1013,0,4,1,11,0.995025,Def+OB,Def,100,1.0
0.0,0.45,body,syntactic,0589b43d45a5,body_syntactic_t000_a045_0589b43d45a5,10,True,0,21,10,0,1013,0,9,1,11,1.0,Def+Dup+OB,Def+Dup+OB,100,1.0
